,Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,ema_short,ema_long,transition,velas_posteriores,price_entry_long,price_entry_short,entrys,entry_dates_candle,static_tp,static_sl,static_tp_confirm,static_sl_confirm,static_tp_percent,static_sl_percent,date_tp_sl,dif_percent_long_to_tp,dif_percent_long_to_sl,dif_percent_short_to_tp,dif_percent_short_to_sl
0,2024-12-07 00:00:00,3994.87,3996.55,3991.44,3991.45,3859.647,2024-12-07 00:04:59.999000-03:00,15414366.96086,9288,1332.439,5321639.91235,0,,,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
1,2024-12-07 00:05:00,3991.44,3993.58,3988.0,3991.31,5422.35,2024-12-07 00:09:59.999000-03:00,21637479.69766,11531,1939.688,7740094.88656,0,,,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
2,2024-12-07 00:10:00,3991.31,3991.31,3986.4,3987.05,3919.331,2024-12-07 00:14:59.999000-03:00,15630634.14837,8492,1793.632,7152817.73755,0,,,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
3,2024-12-07 00:15:00,3987.05,3989.65,3980.75,3983.04,6778.553,2024-12-07 00:19:59.999000-03:00,27011958.32744,13854,2715.972,10824181.21672,0,,,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
4,2024-12-07 00:20:00,3983.04,3984.79,3972.24,3984.78,16931.304,2024-12-07 00:24:59.999000-03:00,67353097.42514,25350,6960.711,27691581.68411,0,,,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
5,2024-12-07 00:25:00,3984.79,3993.58,3984.0,3993.39,5809.252,2024-12-07 00:29:59.999000-03:00,23180158.58856,14757,3767.699,15032894.95385,0,,,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
6,2024-12-07 00:30:00,3993.39,3997.24,3990.1,3992.45,5269.568,2024-12-07 00:34:59.999000-03:00,21047585.12936,13385,2771.836,11072327.82113,0,,,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7,2024-12-07 00:35:00,3992.44,3998.57,3991.3,3995.56,8040.101,2024-12-07 00:39:59.999000-03:00,32122493.48313,12352,6306.997,25199124.73963,0,,,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
8,2024-12-07 00:40:00,3995.56,3995.56,3990.78,3990.85,2290.687,2024-12-07 00:44:59.999000-03:00,9146538.78825,7072,1237.79,4942185.46301,0,,,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
9,2024-12-07 00:45:00,3990.84,3997.0,3989.6,3996.08,5024.873,2024-12-07 00:49:59.999000-03:00,20059481.58384,10193,3790.378,15131782.45071,0,3991.855638952573,,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
