Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-02-14 09:10:00-03:00,2687.0,2688.0,2683.01,2683.01,6137.401,2025-02-14 09:14:59.999000-03:00,,,,,
2025-02-14 09:15:00-03:00,2683.0,2686.0,2678.12,2680.3,9351.112,2025-02-14 09:19:59.999000-03:00,,,,,
2025-02-14 09:20:00-03:00,2680.31,2686.69,2679.62,2686.68,10266.35,2025-02-14 09:24:59.999000-03:00,,,,,
2025-02-14 09:25:00-03:00,2686.68,2686.81,2683.1,2686.02,4544.388,2025-02-14 09:29:59.999000-03:00,,,,,
2025-02-14 09:30:00-03:00,2686.02,2690.39,2685.91,2689.09,8192.572,2025-02-14 09:34:59.999000-03:00,,,,,
2025-02-14 09:35:00-03:00,2689.08,2689.08,2683.03,2683.63,5103.335,2025-02-14 09:39:59.999000-03:00,,,,,
2025-02-14 09:40:00-03:00,2683.63,2684.47,2680.01,2681.41,5176.632,2025-02-14 09:44:59.999000-03:00,,,,,
2025-02-14 09:45:00-03:00,2681.41,2683.93,2678.73,2681.77,6385.952,2025-02-14 09:49:59.999000-03:00,,,,,
2025-02-14 09:50:00-03:00,2681.76,2683.0,2678.5,2682.51,4100.765,2025-02-14 09:54:59.999000-03:00,,,,,
2025-02-14 09:55:00-03:00,2682.51,2685.38,2680.01,2684.87,3930.531,2025-02-14 09:59:59.999000-03:00,,,,,
2025-02-14 10:00:00-03:00,2684.87,2687.38,2683.26,2687.27,4639.812,2025-02-14 10:04:59.999000-03:00,,,,,
2025-02-14 10:05:00-03:00,2687.26,2689.46,2686.68,2688.28,5049.754,2025-02-14 10:09:59.999000-03:00,,,,,
2025-02-14 10:10:00-03:00,2688.31,2691.39,2688.02,2689.32,6128.091,2025-02-14 10:14:59.999000-03:00,,,,,
2025-02-14 10:15:00-03:00,2689.32,2691.79,2686.64,2686.9,3750.439,2025-02-14 10:19:59.999000-03:00,,,,,
