Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-12-07 00:00:00-03:00,3994.87,3996.55,3991.44,3991.45,3859.647,2024-12-07 00:04:59.999000-03:00,15414366.96086,9288,1332.439,5321639.91235,0
2024-12-07 00:05:00-03:00,3991.44,3993.58,3988.0,3991.31,5422.35,2024-12-07 00:09:59.999000-03:00,21637479.69766,11531,1939.688,7740094.88656,0
2024-12-07 00:10:00-03:00,3991.31,3991.31,3986.4,3987.05,3919.331,2024-12-07 00:14:59.999000-03:00,15630634.14837,8492,1793.632,7152817.73755,0
2024-12-07 00:15:00-03:00,3987.05,3989.65,3980.75,3983.04,6778.553,2024-12-07 00:19:59.999000-03:00,27011958.32744,13854,2715.972,10824181.21672,0
2024-12-07 00:20:00-03:00,3983.04,3984.79,3972.24,3984.78,16931.304,2024-12-07 00:24:59.999000-03:00,67353097.42514,25350,6960.711,27691581.68411,0
2024-12-07 00:25:00-03:00,3984.79,3993.58,3984.0,3993.39,5809.252,2024-12-07 00:29:59.999000-03:00,23180158.58856,14757,3767.699,15032894.95385,0
2024-12-07 00:30:00-03:00,3993.39,3997.24,3990.1,3992.45,5269.568,2024-12-07 00:34:59.999000-03:00,21047585.12936,13385,2771.836,11072327.82113,0
2024-12-07 00:35:00-03:00,3992.44,3998.57,3991.3,3995.56,8040.101,2024-12-07 00:39:59.999000-03:00,32122493.48313,12352,6306.997,25199124.73963,0
2024-12-07 00:40:00-03:00,3995.56,3995.56,3990.78,3990.85,2290.687,2024-12-07 00:44:59.999000-03:00,9146538.78825,7072,1237.79,4942185.46301,0
2024-12-07 00:45:00-03:00,3990.84,3997.0,3989.6,3996.08,5024.873,2024-12-07 00:49:59.999000-03:00,20059481.58384,10193,3790.378,15131782.45071,0
2024-12-07 00:50:00-03:00,3996.08,3997.91,3993.63,3994.01,4047.863,2024-12-07 00:54:59.999000-03:00,16176100.4385,8334,3177.489,12698145.92477,0
2024-12-07 00:55:00-03:00,3994.02,3995.24,3989.52,3990.2,3697.1,2024-12-07 00:59:59.999000-03:00,14760487.20388,7249,1503.023,6001620.80723,0
2024-12-07 01:00:00-03:00,3990.21,3996.54,3983.99,3996.13,8060.709,2024-12-07 01:04:59.999000-03:00,32157871.72104,14638,4644.759,18535898.32827,0
2024-12-07 01:05:00-03:00,3996.13,3996.13,3991.42,3994.02,3375.669,2024-12-07 01:09:59.999000-03:00,13481843.3312,8563,1387.996,5543675.51786,0
2024-12-07 01:10:00-03:00,3994.01,3998.1,3993.74,3995.22,4851.614,2024-12-07 01:14:59.999000-03:00,19386585.65164,8321,3391.498,13551659.28658,0
2024-12-07 01:15:00-03:00,3995.22,3995.4,3992.0,3993.72,3545.785,2024-12-07 01:19:59.999000-03:00,14162216.46093,7907,1827.636,7299733.93144,0
2024-12-07 01:20:00-03:00,3993.71,3997.0,3984.96,3988.94,10364.863,2024-12-07 01:24:59.999000-03:00,41358182.10694,12175,2280.289,9100678.96178,0
2024-12-07 01:25:00-03:00,3988.94,3993.0,3985.99,3991.31,5896.371,2024-12-07 01:29:59.999000-03:00,23523608.0512,8736,3041.28,12134196.64599,0
2024-12-07 01:30:00-03:00,3991.31,3994.65,3990.21,3990.65,2895.025,2024-12-07 01:34:59.999000-03:00,11556930.16333,6553,1930.661,7707240.93452,0
2024-12-07 01:35:00-03:00,3990.65,3992.65,3988.09,3989.53,3092.936,2024-12-07 01:39:59.999000-03:00,12343392.37733,6994,1356.188,5412209.94886,0
2024-12-07 01:40:00-03:00,3989.53,3991.59,3986.75,3990.61,5174.719,2024-12-07 01:44:59.999000-03:00,20643888.87355,8180,1775.084,7081341.51255,0
2024-12-07 01:45:00-03:00,3990.6,4002.19,3990.14,3997.11,18908.227,2024-12-07 01:49:59.999000-03:00,75595038.35222,19234,12514.289,50027158.43589,0
2024-12-07 01:50:00-03:00,3997.11,4000.0,3994.63,3999.77,3773.953,2024-12-07 01:54:59.999000-03:00,15087185.8438,8699,2622.974,10486693.5442,0
2024-12-07 01:55:00-03:00,3999.77,4003.29,3997.67,3997.67,4538.663,2024-12-07 01:59:59.999000-03:00,18159701.41805,8942,2746.245,10987909.38071,0
2024-12-07 02:00:00-03:00,3997.68,3997.68,3993.16,3993.16,3364.979,2024-12-07 02:04:59.999000-03:00,13444783.95544,7878,1783.6,7125905.63941,0
2024-12-07 02:05:00-03:00,3993.15,3995.36,3987.55,3995.35,8093.797,2024-12-07 02:09:59.999000-03:00,32307899.12934,10717,5002.1,19971566.83877,0
2024-12-07 02:10:00-03:00,3995.36,4003.97,3994.56,4003.88,4276.55,2024-12-07 02:14:59.999000-03:00,17105088.46061,10113,2923.16,11692432.79919,0
2024-12-07 02:15:00-03:00,4003.87,4006.41,3998.22,3998.23,7449.581,2024-12-07 02:19:59.999000-03:00,29815761.0777,11880,2861.984,11456534.14799,0
2024-12-07 02:20:00-03:00,3998.22,3998.41,3994.0,3997.06,3013.694,2024-12-07 02:24:59.999000-03:00,12042654.05778,7501,1548.162,6186328.4433,0
2024-12-07 02:25:00-03:00,3997.05,4002.9,3997.03,3998.58,4192.08,2024-12-07 02:29:59.999000-03:00,16768110.3832,6734,1671.303,6684757.33755,0
2024-12-07 02:30:00-03:00,3998.57,3999.75,3995.08,3995.08,4050.049,2024-12-07 02:34:59.999000-03:00,16187876.38116,6030,1413.119,5647743.54724,0
2024-12-07 02:35:00-03:00,3995.09,3995.11,3990.41,3991.85,4542.807,2024-12-07 02:39:59.999000-03:00,18139917.83118,9092,2300.275,9185501.76584,0
2024-12-07 02:40:00-03:00,3991.84,3992.4,3987.47,3987.48,6299.852,2024-12-07 02:44:59.999000-03:00,25136289.58673,10596,3120.32,12450974.02699,0
2024-12-07 02:45:00-03:00,3987.48,3992.32,3984.79,3989.58,6946.862,2024-12-07 02:49:59.999000-03:00,27702171.90366,13715,4045.197,16132168.0494,0
2024-12-07 02:50:00-03:00,3989.58,3993.33,3987.95,3992.01,4239.619,2024-12-07 02:54:59.999000-03:00,16917582.38766,7125,1737.223,6932342.44668,0
2024-12-07 02:55:00-03:00,3992.0,3993.57,3990.28,3992.16,3001.327,2024-12-07 02:59:59.999000-03:00,11981210.7883,6037,1517.884,6059175.46447,0
2024-12-07 03:00:00-03:00,3992.15,3994.87,3987.08,3994.86,4793.544,2024-12-07 03:04:59.999000-03:00,19133979.3816,9101,2373.076,9473123.91034,0
2024-12-07 03:05:00-03:00,3994.87,3995.62,3991.82,3991.82,4082.626,2024-12-07 03:09:59.999000-03:00,16304636.55214,6884,1570.69,6272569.57256,0
2024-12-07 03:10:00-03:00,3991.82,3992.35,3987.45,3992.07,4620.931,2024-12-07 03:14:59.999000-03:00,18438405.63,7708,2506.427,10001729.27973,0
2024-12-07 03:15:00-03:00,3992.08,3993.42,3990.62,3992.32,2503.157,2024-12-07 03:19:59.999000-03:00,9992326.09233,6748,1629.328,6504028.69951,0
2024-12-07 03:20:00-03:00,3992.31,3992.32,3986.12,3986.12,2812.483,2024-12-07 03:24:59.999000-03:00,11216248.00546,6544,1223.418,4878879.46217,0
2024-12-07 03:25:00-03:00,3986.12,3989.39,3981.31,3989.35,6063.603,2024-12-07 03:29:59.999000-03:00,24161885.98754,11641,2876.851,11464843.94896,0
2024-12-07 03:30:00-03:00,3989.35,3989.36,3983.4,3983.5,2741.29,2024-12-07 03:34:59.999000-03:00,10926511.16056,8140,1162.127,4631873.29395,0
2024-12-07 03:35:00-03:00,3983.5,3995.0,3983.09,3993.43,6594.973,2024-12-07 03:39:59.999000-03:00,26319449.18734,11009,4682.154,18685181.77699,0
2024-12-07 03:40:00-03:00,3993.43,3993.9,3987.43,3987.43,2978.16,2024-12-07 03:44:59.999000-03:00,11884516.09412,6984,1447.738,5776709.06892,0
2024-12-07 03:45:00-03:00,3987.44,3991.43,3985.09,3989.33,4326.297,2024-12-07 03:49:59.999000-03:00,17252821.50049,8270,2310.047,9212290.14387,0
2024-12-07 03:50:00-03:00,3989.33,3989.65,3983.21,3987.3,5195.324,2024-12-07 03:54:59.999000-03:00,20708090.78451,7940,1164.617,4641838.88176,0
2024-12-07 03:55:00-03:00,3987.31,3987.31,3980.08,3981.53,5524.794,2024-12-07 03:59:59.999000-03:00,22002591.84096,8513,2149.24,8558763.93756,0
2024-12-07 04:00:00-03:00,3981.53,3981.53,3976.66,3978.85,7445.63,2024-12-07 04:04:59.999000-03:00,29623988.09293,12078,3632.973,14453829.37395,0
2024-12-07 04:05:00-03:00,3978.85,3978.85,3970.0,3977.05,12875.454,2024-12-07 04:09:59.999000-03:00,51167320.5391,17999,4231.993,16822395.31039,0
2024-12-07 04:10:00-03:00,3977.05,3982.14,3977.04,3982.13,4664.103,2024-12-07 04:14:59.999000-03:00,18560511.90164,8737,3633.462,14458871.66478,0
2024-12-07 04:15:00-03:00,3982.14,3988.34,3980.17,3987.23,4733.096,2024-12-07 04:19:59.999000-03:00,18856378.1304,10923,3451.602,13750662.4852,0
2024-12-07 04:20:00-03:00,3987.24,3988.89,3980.81,3981.76,4335.615,2024-12-07 04:24:59.999000-03:00,17278418.36683,9513,2739.149,10917291.18883,0
2024-12-07 04:25:00-03:00,3981.76,3986.86,3981.75,3984.62,4762.191,2024-12-07 04:29:59.999000-03:00,18976121.48171,8805,3249.087,12946825.98511,0
2024-12-07 04:30:00-03:00,3984.61,3986.86,3981.81,3983.61,3540.262,2024-12-07 04:34:59.999000-03:00,14105272.53106,8464,1823.304,7264913.86078,0
2024-12-07 04:35:00-03:00,3983.6,3988.2,3981.22,3988.19,5020.818,2024-12-07 04:39:59.999000-03:00,20001763.31957,10206,2655.837,10581067.23482,0
2024-12-07 04:40:00-03:00,3988.19,3990.19,3984.66,3988.52,7506.639,2024-12-07 04:44:59.999000-03:00,29938156.06954,12460,3936.067,15698449.43151,0
2024-12-07 04:45:00-03:00,3988.53,3988.72,3980.01,3981.73,5487.043,2024-12-07 04:49:59.999000-03:00,21858922.59309,10375,2149.447,8562836.46987,0
2024-12-07 04:50:00-03:00,3981.73,3988.78,3979.05,3988.07,6455.136,2024-12-07 04:54:59.999000-03:00,25714675.82673,11968,3600.918,14348174.43888,0
2024-12-07 04:55:00-03:00,3988.07,3991.33,3985.94,3989.09,4812.559,2024-12-07 04:59:59.999000-03:00,19197180.36651,9487,1989.65,7936509.21035,0
2024-12-07 05:00:00-03:00,3989.09,3991.74,3988.21,3991.41,3920.152,2024-12-07 05:04:59.999000-03:00,15643527.3746,9154,2289.282,9135612.57661,0
2024-12-07 05:05:00-03:00,3991.41,3998.24,3991.09,3995.14,18136.712,2024-12-07 05:09:59.999000-03:00,72463676.11421,16312,10824.591,43241665.44889,0
2024-12-07 05:10:00-03:00,3995.14,3996.97,3991.38,3991.81,3636.865,2024-12-07 05:14:59.999000-03:00,14526431.40469,7789,1260.727,5035861.18958,0
2024-12-07 05:15:00-03:00,3991.81,3993.23,3983.38,3983.68,4449.972,2024-12-07 05:19:59.999000-03:00,17749342.64432,10271,1438.318,5737606.70031,0
2024-12-07 05:20:00-03:00,3983.68,3988.43,3982.2,3986.45,3395.649,2024-12-07 05:24:59.999000-03:00,13528634.75435,8708,1771.76,7059045.46328,0
2024-12-07 05:25:00-03:00,3986.45,3990.14,3985.0,3988.87,2012.758,2024-12-07 05:29:59.999000-03:00,8026061.92578,6431,1189.448,4743136.07828,0
2024-12-07 05:30:00-03:00,3988.87,3989.88,3984.94,3989.88,3859.179,2024-12-07 05:34:59.999000-03:00,15385694.22961,7072,920.958,3672049.39066,0
2024-12-07 05:35:00-03:00,3989.88,3990.14,3977.0,3977.53,10309.816,2024-12-07 05:39:59.999000-03:00,41043980.78895,12988,1735.305,6911045.26766,0
2024-12-07 05:40:00-03:00,3977.53,3981.01,3976.29,3978.26,7928.032,2024-12-07 05:44:59.999000-03:00,31541019.87691,12327,3586.222,14267481.46897,0
2024-12-07 05:45:00-03:00,3978.26,3984.29,3977.6,3984.13,4291.99,2024-12-07 05:49:59.999000-03:00,17088673.03543,9902,2500.482,9955891.43781,0
2024-12-07 05:50:00-03:00,3984.13,3986.27,3982.43,3985.75,3677.195,2024-12-07 05:54:59.999000-03:00,14652860.63908,8419,2681.467,10684955.96995,0
2024-12-07 05:55:00-03:00,3985.75,3986.95,3982.13,3982.18,2945.764,2024-12-07 05:59:59.999000-03:00,11739109.2131,6186,1458.525,5813395.01161,0
2024-12-07 06:00:00-03:00,3982.18,3987.36,3981.22,3987.36,2453.91,2024-12-07 06:04:59.999000-03:00,9776207.88176,8244,1450.084,5777346.33401,0
